Stock,Date ,Date
PCYG,1 for 50 ,8/11/2006
PCYO,1 for 10 ,4/26/2004
PED,1 for 10 ,4/10/2017
PEIX,1 for 15 ,5/14/2013
PERI,1 for 3 ,8/27/2018
PESI,1 for 5 ,10/15/2013
PGF,1 for 4 ,5/6/2002
PICK,1 for 2 ,11/7/2016
PICO,1 for 5 ,12/17/1998
PIXY,1 for 40 ,12/16/2019
PLG,1 for 10 ,12/17/2018
PLNT,1 for 50 ,12/6/2004
PLX,1 for 10 ,12/20/2019
PLXP,1 for 8 ,4/20/2017
PMD,1 for 4 ,8/1/2002
PMTS,1 for 5 ,12/20/2017
PNBK,1 for 10 ,3/4/2015
PRKR,1 for 10 ,3/30/2016
PRPO,1 for 15 ,4/29/2019
PRTK,1 for 12 ,10/31/2014
PSI,1 for 5 ,8/5/1996
PSTI,1 for 10 ,7/25/2019
PTN,1 for 10 ,9/27/2010
PULM,1 for 10 ,2/6/2019
PULS,1 for 10 ,5/22/2013
PVCT,1 for 300 ,4/11/2002
QADB,1 for 10 ,12/16/2010
QBAK,1 for 6 ,6/16/2016
QGEN,962 for 1000 ,1/25/2017
QID,1 for 4 ,5/24/2018
QKLS,1 for 8 ,2/5/2013
QRHC,1 for 8 ,8/11/2016
QRVO,1 for 4 ,1/2/2015
QUIK,1 for 14 ,12/24/2019
RAD,1 for 20 ,4/22/2019
RADA,1 for 2 ,9/14/2016
RBCN,1 for 10 ,5/5/2017
RBS,1 for 20 ,11/7/2008
RCG,1 for 7 ,6/17/2002
RCKT,1 for 4 ,1/5/2018
RCM,1 for 4 ,5/9/2000
RCMT,1 for 5 ,4/8/1996
RDNT,1 for 2 ,11/28/2006
RELV,1 for 7 ,10/4/2016
REM,1 for 4 ,11/7/2016
REMX,1 for 3 ,4/15/2020
RENN,1 for 3 ,1/9/2020
REV,1 for 10 ,9/16/2008
REW,1 for 2 ,5/24/2019
RGLS,1 for 12 ,10/4/2018
RHE,1 for 12 ,1/2/2019
RICK,1 for 2 ,3/16/1999
RIF,2 for 3 ,6/17/2009
RING,1 for 2 ,11/7/2016
RKDA,1 for 20 ,1/24/2018
RMCF,1 for 3 ,8/2/1988
RPT,1 for 4 ,5/13/1996
RRTS,1 for 25 ,4/5/2019
RSLS,1 for 140 ,11/8/2018
RSXJ,1 for 3 ,7/1/2013
RTTR,1 for 10 ,3/23/2018
RUSL,1 for 4 ,3/24/2016
RVLT,1 for 10 ,3/11/2016
RWM,1 for 4 ,5/20/2015
RXD,1 for 4 ,5/20/2015
RYAAY,975 for 1000 ,10/28/2015
SAEX,1 for 20 ,9/17/2018
SAND,1 for 5 ,5/9/2012
SANM,1 for 6 ,8/17/2009
SAR,1 for 10 ,8/13/2010
SBB,1 for 4 ,1/24/2014
SBCF,1 for 5 ,12/13/2013
SBLK,1 for 5 ,6/20/2016
SBRA,1 for 3 ,11/16/2010
SCC,1 for 4 ,5/20/2015
SCIF,1 for 4 ,7/1/2013
SCKT,1 for 10 ,10/24/2008
SCO,1 for 5 ,2/25/2011
SCON,1 for 10 ,7/24/2018
SDD,1 for 4 ,1/24/2014
SDOW,1 for 4 ,5/24/2019
SDP,1 for 4 ,11/6/2014
SDRL,100 for 26777 ,7/3/2018
SDS,1 for 4 ,7/17/2017
SE,1 for 5 ,5/1/2000
